item,list,position,item_type,response,r_k
bed,furniture,1,studied,old,R
blanket,furniture,2,studied,old,K
slumber,sleep,3,studied,old,K
mad,emotion,4,studied,old,R
wrath,emotion,5,studied,old,K
fight,violence,6,studied,old,K
thread,sewing,7,studied,old,R
thimble,sewing,8,studied,old,R
thorn,nature,9,studied,old,K
door,house,10,studied,old,R
open,house,11,studied,old,K
frame,house,12,studied,old,R
note,music,13,studied,old,R
horn,music,14,studied,old,K
instrument,music,15,studied,old,R
fast,speed,16,studied,old,R
traffic,transport,17,studied,old,K
hesitant,emotion,18,studied,old,K
smooth,texture,19,studied,old,R
coarse,texture,20,studied,old,K
riders,transport,21,studied,old,K
queen,royalty,22,studied,old,R
throne,royalty,23,studied,old,R
rule,royalty,24,studied,old,K
water,liquid,25,studied,old,R
flow,liquid,26,studied,old,K
barge,transport,27,studied,old,K
table,furniture,28,studied,old,R
sofa,furniture,29,studied,old,R
cushion,furniture,30,studied,old,K
hill,geography,31,studied,old,R
plain,geography,32,studied,old,K
goat,animal,33,studied,old,K
candy,food,34,studied,old,R
nice,social,35,studied,old,K
soda,drink,36,studied,old,K
woman,people,37,studied,old,R
strong,attribute,38,studied,old,K
beard,body,39,studied,old,K
hot,temperature,40,studied,old,R
chilly,temperature,41,studied,old,K
weather,weather,42,studied,old,K
hard,texture,43,studied,old,R
touch,sense,44,studied,old,K
feather,nature,45,studied,old,R
nurse,medical,46,studied,old,R
physician,medical,47,studied,old,K
patient,medical,48,studied,old,K
apple,fruit,–,unrelated,new,
banana,fruit,–,unrelated,new,
…  
sleep,sleep,–,unrelated,new
anger,emotion,–,unrelated,new
needle,sewing,–,unrelated,new
window,house,–,unrelated,new
slow,speed,–,unrelated,new
…
doctor,medical,–,unrelated,new
fruit,food,–,unrelated,new
…
death,event,–,unrelated,new
