word,position,item_type,response,r_k
bed,1,studied,old,r
blanket,8,studied,old,k
slumber,10,studied,old,k
mad,1,studied,old,r
wrath,8,studied,old,k
fight,10,studied,old,k
thread,1,studied,old,r
thimble,8,studied,old,r
thorn,10,studied,old,k
door,1,studied,old,r
open,8,studied,old,k
frame,10,studied,old,r
note,1,studied,old,k
horn,8,studied,old,k
instrument,10,studied,old,r
fast,1,studied,old,k
traffic,8,studied,old,k
hesitant,10,studied,new,NA
smooth,1,studied,old,r
coarse,8,studied,old,k
riders,10,studied,new,NA
queen,1,studied,old,r
throne,8,studied,old,r
rule,10,studied,old,k
water,1,studied,old,r
flow,8,studied,old,r
barge,10,studied,old,k
table,1,studied,old,k
sofa,8,studied,old,k
cushion,10,studied,old,k
hill,1,studied,old,r
plain,8,studied,new,NA
goat,10,studied,old,k
candy,1,studied,old,r
nice,8,studied,new,NA
soda,10,studied,old,k
woman,1,studied,old,k
strong,8,studied,old,k
beard,10,studied,old,k
hot,1,studied,old,r
chilly,8,studied,old,k
weather,10,studied,old,k
hard,1,studied,old,r
touch,8,studied,old,k
feather,10,studied,old,r
nurse,1,studied,old,r
physician,8,studied,old,k
patient,10,studied,old,r
apple,1,not studied,new,NA
banana,8,not studied,new,NA
cherry,10,not studied,new,NA
web,1,not studied,new,NA
tarantula,8,not studied,new,NA
bite,10,not studied,new,NA
sleep,NA,critical lure,old,k
anger,NA,critical lure,old,k
needle,NA,critical lure,old,k
window,NA,critical lure,old,k
slow,NA,critical lure,old,k
music,NA,critical lure,old,k
rough,NA,critical lure,old,k
king,NA,critical lure,old,k
river,NA,critical lure,old,k
chair,NA,critical lure,old,k
mountain,NA,critical lure,old,k
sweet,NA,critical lure,old,k
man,NA,critical lure,old,k
cold,NA,critical lure,old,k
soft,NA,critical lure,old,k
doctor,NA,critical lure,old,k
fruit,NA,critical lure,new,NA
spider,NA,critical lure,new,NA
foot,NA,critical lure,new,NA
bread,NA,critical lure,new,NA
high,NA,critical lure,new,NA
thief,NA,critical lure,new,NA
girl,NA,critical lure,new,NA
black,NA,critical lure,new,NA
shoe,1,not studied,new,NA
walk,8,not studied,new,NA
arm,10,not studied,new,NA
butter,1,not studied,new,NA
flour,8,not studied,new,NA
dough,10,not studied,new,NA
low,1,not studied,new,NA
building,8,not studied,new,NA
cliff,10,not studied,new,NA
steal,1,not studied,new,NA
rob,8,not studied,new,NA
gun,10,not studied,new,NA
boy,1,not studied,new,NA
niece,8,not studied,new,NA
beautiful,10,not studied,new,NA
white,1,not studied,new,NA
grief,8,not studied,new,NA
death,10,not studied,new,NA
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
