list number ,word,type,recall result,serial position
1,bed,in the list,recalled ,1
1,rest,in the list,recalled ,2
1,awake,in the list,recalled ,3
1,tired,in the list,recalled ,4
1,dream,in the list,recalled ,5
1,wake,in the list,not recalled,6
1,snooze,in the list,recalled ,7
1,blanket,in the list,recalled ,8
1,doze,in the list,not recalled,9
1,slumber,in the list,not recalled,10
1,snore,in the list,not recalled,11
1,nap,in the list,recalled ,12
1,peace,in the list,not recalled,13
1,yawn,in the list,recalled ,14
1,drowsy,in the list,not recalled,15
1,sleep,critical lure,recalled,NA
2,mad,in the list,recalled,1
2,fear,in the list,recalled,2
2,hate,in the list,recalled,3
2,rage,in the list,recalled,4
2,temper,in the list,recalled,5
2,fury,in the list,recalled,6
2,ire,in the list,not recalled,7
2,wrath,in the list,recalled,8
2,happy,in the list,recalled,9
2,fight,in the list,recalled,10
2,hatred,in the list,not recalled,11
2,mean,in the list,not recalled,12
2,calm,in the list,not recalled,13
2,emotion,in the list,recalled,14
2,enrage,in the list,not recalled,15
2,anger,critical lure,not recalled,NA
3,thread,in the list,recalled,1
3,pin,in the list,recalled,2
3,eye,in the list,not recalled,3
3,sewing,in the list,recalled,4
3,sharp,in the list,recalled,5
3,point,in the list,not recalled,6
3,prick,in the list,recalled,7
3,thimble,in the list,recalled,8
3,haystack,in the list,not recalled,9
3,thorn,in the list,recalled,10
3,hurt,in the list,not recalled,11
3,injection,in the list,recalled,12
3,cloth,in the list,recalled,13
3,knitting,in the list,not recalled,14
3,syringe,in the list,not recalled,15
3,needle,critical lure,recalled,NA
4,door,in the list,not recalled,1
4,glass,in the list,recalled,2
4,pane,in the list,recalled,3
4,shade,in the list,recalled,4
4,ledge,in the list,not recalled,5
4,sill,in the list,recalled,6
4,house,in the list,recalled,7
4,open,in the list,recalled,8
4,curtain,in the list,recalled,9
4,frame,in the list,recalled,10
4,view,in the list,not recalled,11
4,breeze,in the list,recalled,12
4,sash,in the list,not recalled,13
4,screen,in the list,not recalled,14
4,shutter,in the list,not recalled,15
4,window,critical lure,recalled,NA
5,note,in the list,not recalled,1
5,sound,in the list,not recalled,2
5,piano,in the list,recalled,3
5,sing,in the list,recalled,4
5,radio,in the list,not recalled,5
5,band,in the list,recalled,6
5,melody,in the list,recalled,7
5,horn,in the list,not recalled,8
5,concert,in the list,recalled,9
5,instrument,in the list,recalled,10
5,symphony,in the list,recalled,11
5,jazz,in the list,recalled,12
5,orchestra,in the list,not recalled,13
5,art,in the list,not recalled,14
5,rhythm,in the list,recalled,15
5,music,critical lure,recalled,NA
6,fast,in the list,recalled,1
6,lethargic,in the list,not recalled,2
6,stop,in the list,not recalled,3
6,listless,in the list,not recalled,4
6,snail,in the list,recalled,5
6,cautious,in the list,not recalled,6
6,delay,in the list,not recalled,7
6,traffic,in the list,recalled,8
6,turtle,in the list,recalled,9
6,hesitant,in the list,not recalled,10
6,speed,in the list,recalled,11
6,quick,in the list,recalled,12
6,sluggish,in the list,recalled,13
6,wait,in the list,recalled,14
6,molasses,in the list,recalled,15
6,slow,critical lure,recalled,NA
7,smooth,in the list,recalled,1
7,bumpy,in the list,recalled,2
7,road,in the list,recalled,3
7,tough,in the list,not recalled,4
7,sandpaper,in the list,recalled,5
7,jagged,in the list,recalled,6
7,ready,in the list,not recalled,7
7,coarse,in the list,recalled,8
7,uneven,in the list,recalled,9
7,riders,in the list,not recalled,10
7,rugged,in the list,recalled,11
7,sand,in the list,not recalled,12
7,boards,in the list,not recalled,13
7,ground,in the list,not recalled,14
7,gravel,in the list,recalled,15
7,rough,critical lure,recalled,NA
8,queen,in the list,recalled,1
8,England,in the list,not recalled,2
8,crown,in the list,recalled,3
8,prince,in the list,recalled,4
8,George,in the list,not recalled,5
8,dictator,in the list,not recalled,6
8,palace,in the list,recalled,7
8,throne,in the list,recalled,8
8,chess,in the list,not recalled,9
8,rule,in the list,recalled,10
8,subjects,in the list,not recalled,11
8,monarch,in the list,recalled,12
8,royal,in the list,recalled,13
8,leader,in the list,not recalled,14
8,reign,in the list,recalled,15
8,king,critical lure,recalled,NA
